alpha_id,strategy,gamma,base_spread,vol_mult,vol_window,order_notional,refresh_bars,target_pct,max_inv_mult,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
AV0350,avellaneda,2.3759291082519467,0.0009421063097613644,5.787823409502263,120,100.0,1,0.6,11.248557388727276,2.3169219931953284,0.3481265495495355,-0.5409748118634342,2.182397385733136,0.16117428369055778,-0.3431987764399673,8,236.8,8.069457437647356
AV0252,avellaneda,1.109476803467888,0.00041652737518578145,8.527881635319645,120,200.0,2,0.6,8.580714027196011,1.891705247031713,0.4768742450500886,-1.05930081721639,2.3878407380375455,0.2437622655501018,-0.663990275901433,8,155.3,8.021701470916332
AV0596,avellaneda,9.999769365745307,0.004291185240896944,8.695142450126065,30,75.0,3,0.6,6.351608966866131,3.92244984537383,0.557054064706972,-0.3837040047508708,2.7498622592000457,0.18051902404683096,-0.3346468331075994,7,104.3,8.00853568218946
AV0532,avellaneda,1.9517723961059354,0.002248464583728798,6.732660494355752,30,300.0,3,0.5,10.474093778571588,1.1742857304456438,0.29256816518666706,-0.9828558595580399,2.814400517685556,0.2994646453416845,-0.7303521326329792,8,139.0,7.998901995761551
AV0429,avellaneda,9.090507286432885,0.004902959967620289,10.185513905325628,480,100.0,1,0.6,9.421080896800087,4.343415374243753,0.6108178847212712,-0.3702220529003535,2.41684297523711,0.16316410904625808,-0.32727883212888625,7,37.9,7.984020349925793
AV3227,avellaneda,1.0019885330882679,0.0002363242916670269,10.70620962175814,30,200.0,10,0.6,6.408136581298328,1.6970748433844125,0.5381571721498131,-1.1129705910286973,2.4198889518939337,0.2902043805950779,-0.7280200108487589,8,332.9,7.9776076311642745
AV0641,avellaneda,1.7081609869893732,0.0027802960716774693,15.647983952934318,120,150.0,5,0.4,2.1738147456816286,2.5876996578524674,0.3852303955200405,-0.8081654084822002,1.7739715529749005,0.17482694007408828,-0.4540431374178479,8,20.7,7.961340663155302
AV2956,avellaneda,1.6948143554982384,0.0002840116806892653,13.237164455545097,30,100.0,3,0.5,11.99654718103468,2.649358736577059,0.4024383012969629,-0.5031178423916935,1.6613130278903614,0.12725227676125722,-0.30407573008076727,8,71.3,7.934334121859836
AV1589,avellaneda,13.426790803861191,0.0035106230159776645,12.391405375709486,240,75.0,10,0.6,6.135836519092236,3.461757359650999,0.512155150911498,-0.41068751257218533,2.8913930120885842,0.18684363706306975,-0.34516077094216596,7,132.0,7.9338919080436785
AV0908,avellaneda,24.972420543446262,0.001202706759041424,31.057209951668526,240,100.0,3,0.5,6.214284640143157,4.035149374166131,0.5786385216699309,-0.3672953213501205,2.4646387845027675,0.16312932539736175,-0.36231869989656845,7,34.3,7.9109434893140795
AV1160,avellaneda,16.740528667366117,0.0005127386757948261,18.29152958267527,480,75.0,3,0.6,10.505644774405512,3.8282880033604045,0.5532778455561111,-0.3856923715429912,2.5845913264107123,0.17546886567695402,-0.3391828843757685,7,103.2,7.905239034084553
AV0416,avellaneda,33.12103645133846,0.0004659147909534165,38.634158635330486,240,150.0,5,0.5,7.552488837399513,3.988289862953711,0.594977245874834,-0.4371929399240434,2.478649957024433,0.1811754541524424,-0.36599599121660503,7,21.5,7.9044137164063075
AV2418,avellaneda,12.822227219605171,0.004451005206062245,17.41551045551412,60,50.0,2,0.5,11.914858488615732,4.076214099631647,0.5936977959010256,-0.40080811797912247,2.393754685707189,0.16877370150585558,-0.35774249274229075,7,81.0,7.89209118501366
AV1146,avellaneda,37.16206064156528,0.0007627911476913203,41.393865137453965,120,100.0,3,0.4,8.859970137858836,3.9467293257416083,0.5520445415394079,-0.39988236476388916,2.4821497395178787,0.1527060604293765,-0.36691485117169576,7,33.5,7.891187774269577
AV1489,avellaneda,31.88726664348147,0.0006266917901007558,34.75602201663605,240,150.0,2,0.5,7.110172028646273,4.173332962543657,0.622440314804713,-0.36919013801265466,2.3210843307876226,0.16693598936845955,-0.38660213017261413,7,23.2,7.886646588956648
AV3380,avellaneda,1.6993008718378706,0.004664835372488325,11.974711143530048,240,200.0,5,0.6,4.392454620301127,2.461973674015329,0.49569381881935437,-0.7616718957542616,1.6949250516079455,0.17963598266995176,-0.5499020224532614,8,23.5,7.882685132694575
AV1577,avellaneda,20.419592946880602,0.0006769820854677306,28.698116833157123,120,100.0,10,0.4,7.295812506317745,3.9052685875011974,0.5574256192506237,-0.36838782492439354,2.477452595069569,0.16414023049353638,-0.3213976081058354,7,42.5,7.880281605984798
AV3467,avellaneda,38.79500165438081,0.00032329981920061824,40.899555189875784,240,150.0,3,0.5,4.974923937157861,3.9273687048330403,0.6070190210799356,-0.37676763440420474,2.465010147412483,0.17413138486633398,-0.39609656577385977,7,23.2,7.877629894628406
AV1627,avellaneda,4.487381515605425,0.005698746966933911,4.039143450976085,120,100.0,1,0.6,8.71348832692681,4.426642892424041,0.6293809401415947,-0.39996920560179205,2.1221260156383552,0.15725901117989455,-0.33701001104765965,7,60.4,7.8753096949960035
AV0678,avellaneda,28.667118800233304,0.0002260214075844189,33.539609100338595,60,150.0,10,0.4,5.229045401199223,3.7762118910811906,0.5702710752123876,-0.39869348235282814,2.5268812428742877,0.1744993127220914,-0.3442876202845218,7,36.7,7.863262814418483
AV0567,avellaneda,41.956821721130765,0.005673192412107986,30.987112358936088,240,150.0,5,0.6,6.349285822577034,3.8900700793280194,0.5584925709577273,-0.3669765741614174,2.399872352452041,0.1711737609748452,-0.3816175260898308,7,28.6,7.837760431714423
