alpha_id,strategy,n_grid,grid_step,tp_steps,recenter_bars,recenter_threshold,leverage,target_pct,is_sharpe_mean,is_pnl_pct_mean,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_max_dd_worst,n_sym_profit_oos,avg_fills,score
GR3681,grid,3,0.007950664872998055,2,120,0.07694940339675077,3,0.5,1.5730410164062498,6.5245245936007095,-15.708088447205991,2.5041002705426516,2.6340882469555784,-5.486817100529316,7,102.8,7.080275460390757
GR3302,grid,8,0.0036663325213307034,1,30,0.0386455229626194,2,0.5,2.0507166871257794,3.632940932508743,-5.8692198014652055,2.2840840339035315,1.1686411789019204,-4.298880224737496,7,726.3,7.078611302222227
GR3892,grid,4,0.006568580969304408,1,240,0.031513060596438436,3,0.5,2.2707197650865414,10.488381772218005,-13.27219790483301,2.3353997888440197,3.225998631278481,-8.530376803341824,7,344.7,7.078403116807541
GR1866,grid,4,0.0037236122473074855,1,10,0.02225184191178068,2,0.5,0.8494248736271697,2.2372944978686404,-8.702977473495284,1.7788625823538027,1.020589300544787,-7.6547768501877185,8,434.6,7.077676157179682
GR2577,grid,5,0.005157603705109286,1,480,0.04875425594253527,1,0.5,2.1864678911976134,3.884312053762458,-4.618323419547414,1.9995612945248484,1.227602444972936,-2.959536419160504,7,569.6,7.076378960343671
GR1759,grid,8,0.003716969102580623,2,120,0.0320268626223247,2,0.5,2.783895514587862,7.803578750143489,-7.633625758602193,1.7386473994470752,1.537321074425885,-4.409175817154246,7,607.4,7.075995121052359
GR3265,grid,4,0.00924465021077841,1,10,0.016836718827329882,3,0.5,1.4002560870861802,3.2765300240384514,-7.95967347729751,2.5197824804529065,1.5366942137779351,-3.378957091178763,7,89.7,7.074177053961171
GR1380,grid,8,0.009971952389557026,1,240,0.028554361509791987,3,0.5,2.5112325397102846,4.348843874970929,-4.756233386660915,1.956015064954005,0.9155843945451853,-3.8924557796165207,7,167.7,7.073275945929012
GR1980,grid,6,0.010054349825932375,1,30,0.03754596084516773,2,0.5,2.4817227192155853,2.6777392597041887,-3.8357016903878502,1.7238853621522991,0.515180784002865,-1.4815774364632126,7,113.5,7.072585045265647
GR2367,grid,6,0.010633473349623529,1,60,0.07521794149678626,2,0.5,2.472367936954711,3.001237480993039,-3.71120757166922,1.8306975228852143,0.6509152424313598,-2.423306742469031,7,127.3,7.072199081231127
GR1445,grid,4,0.01194744399614858,1,60,0.0460778274321801,1,0.5,2.6744477739284194,2.1551863435372196,-2.381665183286259,1.673629547101963,0.3968211536942855,-1.932015326583005,7,103.1,7.071292401074972
GR3112,grid,3,0.011094318438027396,2,10,0.07174232988154312,1,0.5,1.645985136645158,1.7565602576737547,-3.2397881139980744,2.216512153377606,0.5691837954388557,-1.0937482222453583,7,40.7,7.071135820313858
GR1607,grid,8,0.0035135667417809744,1,10,0.0351809425133018,1,0.5,1.5635574268876822,1.3780305667269823,-2.2635622385066743,2.343323126220138,0.3835351741965224,-1.3908808548767957,7,582.8,7.070792597508482
GR0237,grid,8,0.0013714967206316518,2,10,0.03212834537163235,3,0.5,0.641924388923124,3.058708113950108,-12.086165014079944,1.9271488383537725,1.673155761676537,-8.7870680844673,8,1408.0,7.06642266980222
GR0670,grid,8,0.001518072427684157,1,30,0.06589291869837217,3,0.5,0.5038589786287035,2.876847138247801,-14.46387226664061,1.720644703739095,1.699367632858679,-6.583063301789753,8,2484.7,7.066413422792514
GR0127,grid,5,0.011133550252459717,1,60,0.058508060257632694,1,0.5,2.5853461930040345,1.8153118196739233,-2.215332359723907,1.6621053795280787,0.3989193693449033,-1.485018406045947,7,119.5,7.066363723873681
GR3848,grid,6,0.006810725116693664,1,480,0.04961930455651191,3,0.5,1.9300368870488511,9.609293569332447,-12.456638302744068,2.2869856770821624,3.9663981473324297,-7.682508590672696,7,429.4,7.0645159571478615
GR2121,grid,8,0.0047428903733884266,1,60,0.02580452980136525,2,0.5,1.687061468787109,2.8730980918655984,-5.072171342403854,2.476251126016068,0.9694285485005094,-3.9365383117561215,7,495.7,7.061793432518037
GR3269,grid,3,0.006322652020224743,2,240,0.06251109505881122,2,0.5,2.2420316980318438,7.329157686265148,-10.144403425456074,2.3422760116692576,1.2462361559256863,-6.080514348696761,7,155.3,7.061501746212969
GR0302,grid,8,0.009690930348195634,1,480,0.06316247340461731,3,0.5,2.403008240747452,7.04996772047992,-8.679516421914231,2.2928511160526486,1.719500793162333,-7.167853505962449,7,252.6,7.060174327543168
GR2604,grid,4,0.004139761484098789,1,240,0.07206166040925542,3,0.5,2.287263521914247,12.744032466106972,-15.581913923380524,2.6295631720246027,2.723074227979656,-10.466781538546801,7,635.9,7.05932152991091
GR0501,grid,5,0.006115662082683431,1,480,0.0250795010551298,3,0.5,1.897482848399957,8.98234902543815,-13.465979809759082,2.3908607452552326,3.5178200045166124,-7.792890050161513,7,423.4,7.05898438723648
GR3551,grid,8,0.00614319994441871,2,240,0.039787213357013,1,0.5,2.5127636717302875,3.039524007104869,-3.094504825872027,1.798222904152686,0.45985531918494055,-2.406601700472511,7,289.4,7.05542173189424
GR3008,grid,8,0.007586870550313159,1,30,0.03189920178320602,2,0.5,2.1080645260505007,2.2964322720874044,-2.6457383356773607,2.016757211896132,0.648314262735399,-2.296348445145395,7,194.2,7.054044337478519
GR0889,grid,8,0.003282659234330798,1,10,0.02879583513125293,3,0.5,1.656734312710448,4.296862336774389,-6.77088371934722,2.442854091818176,1.3221877574560605,-4.146456547908802,7,656.8,7.0532922628532715
GR2001,grid,8,0.00419692984837862,1,480,0.043400877449729605,2,0.5,2.278890859947533,6.9802691196866204,-8.391728995102676,2.0647404373514497,2.3402672983490285,-5.779267355754455,7,968.4,7.053265797315067
GR2051,grid,8,0.00751451936980193,2,480,0.03152480878990868,2,0.5,2.2401751029163313,4.102175570818014,-5.287579314025988,1.9773627145914514,0.824691658255022,-2.9100544776969945,7,184.0,7.053237816439635
GR0041,grid,8,0.0062556520473307274,1,10,0.06342062205244364,1,0.5,2.017177386952805,0.9925947785248281,-1.5676450152470716,1.9450385816514917,0.2971498912515963,-0.851384080242642,7,212.4,7.053109524314583
GR3558,grid,5,0.011373649786293901,1,60,0.07266754460552666,2,0.5,2.518771059329983,3.4795060011789225,-4.5937702536246805,1.8132997092008516,0.8520115642723814,-3.1115656251254586,7,115.5,7.053083174573642
GR2972,grid,6,0.011392613109687626,1,120,0.043732266277306114,3,0.5,2.487155275609949,5.633156269082913,-6.280775663875065,1.8535449260947097,1.236854242641397,-3.7780665811876135,7,136.1,7.052506143965659
